Feature,Timestamp,Feature_Type,Month,Feature_importance method,Feature_importance score,Drift_Test,Drift_Test_Score,Drift_Test_Threshold,Drift_Test_P_Value,Drift_Test_Drifted
Age,20241211_220319,numerical,Sep,random_forest,0.045261341695257425,N/A,N/A,N/A,N/A,N/A
Occupation,20241211_220319,categorical,Sep,random_forest,0.008806488815403196,N/A,N/A,N/A,N/A,N/A
Annual_Income,20241211_220319,numerical,Sep,random_forest,0.6233213017609585,N/A,N/A,N/A,N/A,N/A
Monthly_Inhand_Salary,20241211_220319,numerical,Sep,random_forest,0.5627569007673575,N/A,N/A,N/A,N/A,N/A
Num_Bank_Accounts,20241211_220319,numerical,Sep,random_forest,0.21387340399070925,N/A,N/A,N/A,N/A,N/A
Num_Credit_Card,20241211_220319,numerical,Sep,random_forest,0.15955565816362216,N/A,N/A,N/A,N/A,N/A
Interest_Rate,20241211_220319,numerical,Sep,random_forest,0.2272532959669738,N/A,N/A,N/A,N/A,N/A
Num_of_Loan,20241211_220319,numerical,Sep,random_forest,1.0,N/A,N/A,N/A,N/A,N/A
Delay_from_due_date,20241211_220319,numerical,Sep,random_forest,0.19062404161343574,N/A,N/A,N/A,N/A,N/A
Num_of_Delayed_Payment,20241211_220319,numerical,Sep,random_forest,0.07873396961430998,N/A,N/A,N/A,N/A,N/A
Changed_Credit_Limit,20241211_220319,numerical,Sep,random_forest,0.046737170344362276,N/A,N/A,N/A,N/A,N/A
Num_Credit_Inquiries,20241211_220319,numerical,Sep,random_forest,0.27158224112648244,N/A,N/A,N/A,N/A,N/A
Credit_Mix,20241211_220319,categorical,Sep,random_forest,0.159356339090058,N/A,N/A,N/A,N/A,N/A
Outstanding_Debt,20241211_220319,numerical,Sep,random_forest,0.42090945479511427,N/A,N/A,N/A,N/A,N/A
Credit_Utilization_Ratio,20241211_220319,numerical,Sep,random_forest,0.016460316851072538,N/A,N/A,N/A,N/A,N/A
Credit_History_Age,20241211_220319,numerical,Sep,random_forest,0.15736965735130892,N/A,N/A,N/A,N/A,N/A
Payment_of_Min_Amount,20241211_220319,categorical,Sep,random_forest,0.11332268278568695,N/A,N/A,N/A,N/A,N/A
Total_EMI_per_month,20241211_220319,numerical,Sep,random_forest,0.5416134517282143,N/A,N/A,N/A,N/A,N/A
Amount_invested_monthly,20241211_220319,numerical,Sep,random_forest,0.6141865582037491,N/A,N/A,N/A,N/A,N/A
Payment_Behaviour,20241211_220319,categorical,Sep,random_forest,0.08040240310113334,N/A,N/A,N/A,N/A,N/A
Monthly_Balance,20241211_220319,numerical,Sep,random_forest,0.257056971014204,N/A,N/A,N/A,N/A,N/A
Last_Loan_9,20241211_220319,categorical,Sep,random_forest,0.0024420887462559804,N/A,N/A,N/A,N/A,N/A
Last_Loan_8,20241211_220319,categorical,Sep,random_forest,0.005511390675703015,N/A,N/A,N/A,N/A,N/A
Last_Loan_7,20241211_220319,categorical,Sep,random_forest,0.015049071827676577,N/A,N/A,N/A,N/A,N/A
Last_Loan_6,20241211_220319,categorical,Sep,random_forest,0.03403057493399326,N/A,N/A,N/A,N/A,N/A
Last_Loan_5,20241211_220319,categorical,Sep,random_forest,0.07322560397057758,N/A,N/A,N/A,N/A,N/A
Last_Loan_4,20241211_220319,categorical,Sep,random_forest,0.08149488816618035,N/A,N/A,N/A,N/A,N/A
Last_Loan_3,20241211_220319,categorical,Sep,random_forest,0.6973843724466838,N/A,N/A,N/A,N/A,N/A
Last_Loan_2,20241211_220319,categorical,Sep,random_forest,0.039131224634616296,N/A,N/A,N/A,N/A,N/A
Last_Loan_1,20241211_220319,categorical,Sep,random_forest,0.008539717490863892,N/A,N/A,N/A,N/A,N/A
