Feature,Timestamp,Feature_Type,Feature_Importance_random_forest,Importance_Score_Status,Drift_Score,Drift_Test_Method,Normalized_Importance,Normalized_Drift,Priority_Score
Outstanding_Debt,12/07/2024 05:47:05,numerical,0.2184,Available,1.0,ks,1.0,0.7833,0.8917
Interest_Rate,12/07/2024 05:47:05,numerical,0.2161,Available,1.0,ks,0.9667,0.7833,0.875
Num_Credit_Card,12/07/2024 05:47:05,numerical,0.1018,Available,1.0,ks,0.9333,0.7833,0.8583
Num_Credit_Inquiries,12/07/2024 05:47:05,numerical,0.0753,Available,1.0,ks,0.9,0.7833,0.8417
Delay_from_due_date,12/07/2024 05:47:05,numerical,0.0679,Available,1.0,ks,0.8667,0.7833,0.825
Changed_Credit_Limit,12/07/2024 05:47:05,numerical,0.0648,Available,1.0,ks,0.8333,0.7833,0.8083
Num_of_Delayed_Payment,12/07/2024 05:47:05,numerical,0.0592,Available,1.0,ks,0.8,0.7833,0.7917
Num_Bank_Accounts,12/07/2024 05:47:05,numerical,0.0501,Available,1.0,ks,0.7667,0.7833,0.775
Num_of_Loan,12/07/2024 05:47:05,numerical,0.0463,Available,1.0,ks,0.7,0.7833,0.7417
Annual_Income,12/07/2024 05:47:05,numerical,0.0114,Available,1.0,ks,0.6667,0.7833,0.725
Monthly_Inhand_Salary,12/07/2024 05:47:05,numerical,0.0101,Available,1.0,ks,0.6333,0.7833,0.7083
Total_EMI_per_month,12/07/2024 05:47:05,numerical,0.0077,Available,1.0,ks,0.6,0.7833,0.6917
Amount_invested_monthly,12/07/2024 05:47:05,numerical,0.0066,Available,1.0,ks,0.5667,0.7833,0.675
Monthly_Balance,12/07/2024 05:47:05,numerical,0.0053,Available,1.0,ks,0.5,0.7833,0.6417
Credit_History_Age,12/07/2024 05:47:05,numerical,0.0489,Available,1.0,ks,0.7333,0.4667,0.6
Age,12/07/2024 05:47:05,numerical,0.0058,Available,1.0,ks,0.5333,0.5,0.5167
Credit_Utilization_Ratio,12/07/2024 05:47:05,numerical,0.0042,Available,1.0,ks,0.4667,0.5333,0.5
Payment_of_Min_Amount,12/07/2024 05:47:05,categorical,0.0,Not Available,0.008,chisquare,0.2333,0.4333,0.3333
Last_Loan_3,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0042,chisquare,0.2333,0.4,0.3167
Payment_Behaviour,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0024,chisquare,0.2333,0.3667,0.3
Credit_Mix,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0002,chisquare,0.2333,0.3333,0.2833
Last_Loan_2,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.3,0.2667
Last_Loan_1,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.2667,0.25
Last_Loan_7,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.2333,0.2333
Last_Loan_4,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.2,0.2167
Last_Loan_5,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.1667,0.2
Last_Loan_8,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.1333,0.1833
Last_Loan_6,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.1,0.1667
Last_Loan_9,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.05,0.1417
Occupation,12/07/2024 05:47:05,categorical,0.0,Not Available,0.0,chisquare,0.2333,0.05,0.1417
