Month,Feature,Drift_Score_Mean,Drift_Score_Max,Drift_Score_Std,Feature_Importance,Priority_Score
659,Age,1.0,1.0,0.0,0.0058,0.5333
659,Amount_invested_monthly,1.0,1.0,0.0,0.0066,0.6896
659,Annual_Income,1.0,1.0,0.0,0.0114,0.7396
659,Changed_Credit_Limit,1.0,1.0,0.0,0.0648,0.7291749999999999
659,Credit_History_Age,0.985,0.9919,0.005257375771237957,0.0489,0.604175
659,Credit_Mix,2.5E-5,1.0E-4,5.0E-5,0.0,0.14582499999999998
659,Credit_Utilization_Ratio,0.9862,0.9945,0.006859543230662912,0.0042,0.47915
659,Delay_from_due_date,1.0,1.0,0.0,0.0679,0.8396
659,Interest_Rate,1.0,1.0,0.0,0.2161,0.8896000000000001
659,Last_Loan_1,4.75E-4,7.0E-4,1.5E-4,0.0,0.24582500000000002
659,Last_Loan_2,0.0322,0.0339,0.0020049937655763424,0.0,0.30835
659,Last_Loan_3,0.1179,0.1201,0.0015556349186104008,0.0,0.3333
659,Last_Loan_4,4.0E-4,8.0E-4,2.82842712474619E-4,0.0,0.21665
659,Last_Loan_5,2.75E-4,4.0E-4,9.574271077563382E-5,0.0,0.179175
659,Last_Loan_6,3.5E-4,5.0E-4,1.7320508075688773E-4,0.0,0.229175
659,Last_Loan_7,3.75E-4,7.0E-4,2.217355782608345E-4,0.0,0.20834999999999998
659,Last_Loan_8,4.7499999999999994E-4,6.0E-4,1.5E-4,0.0,0.24585
659,Last_Loan_9,3.0E-4,3.0E-4,0.0,0.0,0.2125
659,Monthly_Balance,1.0,1.0,0.0,0.0053,0.6562250000000001
659,Monthly_Inhand_Salary,1.0,1.0,0.0,0.0101,0.722925
659,Num_Bank_Accounts,1.0,1.0,0.0,0.0501,0.7896
659,Num_Credit_Card,1.0,1.0,0.0,0.1018,0.872925
659,Num_Credit_Inquiries,1.0,1.0,0.0,0.0753,0.856225
659,Num_of_Delayed_Payment,1.0,1.0,0.0,0.0592,0.6958249999999999
659,Num_of_Loan,1.0,1.0,0.0,0.0463,0.7562249999999999
659,Occupation,5.75E-4,8.0E-4,2.0615528128088307E-4,0.0,0.262475
659,Outstanding_Debt,1.0,1.0,0.0,0.2184,0.9062250000000001
659,Payment_Behaviour,0.031225,0.032,5.25198375219625E-4,0.0,0.30835
659,Payment_of_Min_Amount,0.0,0.0,0.0,0.0,0.137475
659,Total_EMI_per_month,1.0,1.0,0.0,0.0077,0.706225
