Feature,Feature_Type,Feature_Test,Importance_Score,Timestamp,Batch
Age,numerical,random_forest,0.045261341695257425,20241209_112019,Sep
Occupation,categorical,random_forest,0.008806488815403196,20241209_112019,Sep
Annual_Income,numerical,random_forest,0.6233213017609585,20241209_112019,Sep
Monthly_Inhand_Salary,numerical,random_forest,0.5627569007673575,20241209_112019,Sep
Num_Bank_Accounts,numerical,random_forest,0.21387340399070925,20241209_112019,Sep
Num_Credit_Card,numerical,random_forest,0.15955565816362216,20241209_112019,Sep
Interest_Rate,numerical,random_forest,0.2272532959669738,20241209_112019,Sep
Num_of_Loan,numerical,random_forest,1.0,20241209_112019,Sep
Delay_from_due_date,numerical,random_forest,0.19062404161343574,20241209_112019,Sep
Num_of_Delayed_Payment,numerical,random_forest,0.07873396961430998,20241209_112019,Sep
Changed_Credit_Limit,numerical,random_forest,0.046737170344362276,20241209_112019,Sep
Num_Credit_Inquiries,numerical,random_forest,0.27158224112648244,20241209_112019,Sep
Credit_Mix,categorical,random_forest,0.159356339090058,20241209_112019,Sep
Outstanding_Debt,numerical,random_forest,0.42090945479511427,20241209_112019,Sep
Credit_Utilization_Ratio,numerical,random_forest,0.016460316851072538,20241209_112019,Sep
Credit_History_Age,numerical,random_forest,0.15736965735130892,20241209_112019,Sep
Payment_of_Min_Amount,categorical,random_forest,0.11332268278568695,20241209_112019,Sep
Total_EMI_per_month,numerical,random_forest,0.5416134517282143,20241209_112019,Sep
Amount_invested_monthly,numerical,random_forest,0.6141865582037491,20241209_112019,Sep
Payment_Behaviour,categorical,random_forest,0.08040240310113334,20241209_112019,Sep
Monthly_Balance,numerical,random_forest,0.257056971014204,20241209_112019,Sep
Last_Loan_9,categorical,random_forest,0.0024420887462559804,20241209_112019,Sep
Last_Loan_8,categorical,random_forest,0.005511390675703015,20241209_112019,Sep
Last_Loan_7,categorical,random_forest,0.015049071827676577,20241209_112019,Sep
Last_Loan_6,categorical,random_forest,0.03403057493399326,20241209_112019,Sep
Last_Loan_5,categorical,random_forest,0.07322560397057758,20241209_112019,Sep
Last_Loan_4,categorical,random_forest,0.08149488816618035,20241209_112019,Sep
Last_Loan_3,categorical,random_forest,0.6973843724466838,20241209_112019,Sep
Last_Loan_2,categorical,random_forest,0.039131224634616296,20241209_112019,Sep
Last_Loan_1,categorical,random_forest,0.008539717490863892,20241209_112019,Sep
